BAG,GROUP,COHORT,TREATMENT,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
9,NF6-AMB ,NF,6-AMB,SMALL,0.7, 6.74 , 8.02 , 7.78 , 7.45 , 5.85 , 7.61 , 4.90 , 4.19 , 7.32 , 6.82 , 7.38 , 6.17 , 4.25 , 6.78 , 7.00 ,,,,,,,,,,,,
10,NF6-AMB ,NF,6-AMB,SMALL,0.8, 6.67 , 8.13 , 7.73 , 8.41 , 8.36 , 5.32 , 5.71 , 7.32 , 4.42 , 5.15 , 7.14 , 7.60 , 8.35 , 7.90 , 7.88 ,,,,,,,,,,,,
11,NF6-AMB ,NF,6-AMB,SMALL,0.7, 6.13 , 8.51 , 8.54 , 8.19 , 5.58 , 6.59 , 5.46 , 4.87 , 8.54 , 8.17 , 7.93 , 6.17 , 7.34 , 5.46 , 5.78 ,,,,,,,,,,,,
12,NF6-AMB ,NF,6-AMB,SMALL,NA, 7.90 , 7.18 , 7.40 , 8.14 , 8.32 , 8.09 , 8.21 , 8.60 , 6.76 , 3.97 , 5.84 , 4.99 , 6.99 , 5.37 , 7.75 ,,,,,,,,,,,,
13,NF6-LOW,NF,6-LOW,SMALL,0.5, 4.01 , 3.69 , 6.26 , 5.13 , 6.37 , 5.27 , 3.44 , 4.72 , 6.79 , 6.31 , 4.56 , 5.42 , 5.30 , 5.43 , 4.34 ,,,,,,,,,,,,
14,NF6-LOW,NF,6-LOW,SMALL,0.4, 5.32 , 6.41 , 5.74 , 6.45 , 5.48 , 5.72 , 5.19 , 5.36 , 5.31 , 4.39 , 4.90 , 3.71 , 6.35 , 4.21 , 5.27 ,,,,,,,,,,,,
15,NF6-LOW,NF,6-LOW,SMALL,0.4, 6.47 , 5.42 , 7.04 , 5.57 , 6.38 , 6.52 , 5.13 , 5.12 , 5.50 , 5.14 , 5.13 , 4.72 , 6.70 , 5.54 , 6.75 ,,,,,,,,,,,,
16,NF6-LOW,NF,6-LOW,SMALL,0.4, 5.66 , 4.89 , 6.85 , 4.98 , 5.53 , 5.67 , 5.21 , 4.04 , 4.55 , 6.88 , 6.58 , 5.37 , 7.00 , 4.80 , 4.23 ,,,,,,,,,,,,
17,NF6-LOW,NF,6-LOW,SMALL,0.4, 4.30 , 6.80 , 5.23 , 5.75 , 4.50 , 4.09 , 5.08 , 5.20 , 4.42 , 5.82 , 6.06 , 5.76 , 6.34 , 4.35 , 5.01 ,,,,,,,,,,,,
18,NF6-LOW,NF,6-LOW,SMALL,0.4, 5.42 , 4.08 , 4.26 , 5.99 , 5.19 , 6.95 , 5.28 , 6.95 , 6.31 , 5.06 , 6.06 , 4.31 , 5.10 , 6.37 , 6.17 ,,,,,,,,,,,,
19,NF6-LOW,NF,6-LOW,LARGE,2.7, 17.00 , 15.79 , 11.55 , 11.52 , 10.54 , 9.23 , 9.61 , 9.38 , 8.64 , 10.13 , 7.75 , 9.22 , 7.47 , 7.75 , 10.96 ,,,,,,,,,,,,
20,NF6-LOW,NF,6-LOW,LARGE,3.6, 13.45 , 12.05 , 9.06 , 10.01 , 8.29 , 9.91 , 10.12 , 9.13 , 11.34 , 16.70 , 19.04 , 10.59 , 13.46 , 11.89 , 9.50 ,,,,,,,,,,,,
21,NF6-LOW,NF,6-LOW,LARGE,4.4, 9.24 , 8.75 , 7.88 , 15.09 , 10.63 , 13.92 , 12.59 , 9.54 , 9.19 , 18.70 , 11.56 , 16.56 , 12.16 , 15.75 , 16.04 ,,,,,,,,,,,,
22,NF6-LOW,NF,6-LOW,LARGE,3.2, 9.71 , 10.16 , 16.59 , 16.04 , 9.41 , 8.40 , 10.59 , 8.78 , 7.45 , 12.29 , 14.76 , 11.45 , 11.51 , 10.10 , 8.86 ,,,,,,,,,,,,
23,NF6-LOW,NF,6-LOW,LARGE,3.4, 7.31 , 7.68 , 11.32 , 13.07 , 11.91 , 8.76 , 7.48 , 7.68 , 12.07 , 8.83 , 9.31 , 12.53 , 14.02 , 11.44 , 13.26 , 8.03 ,,,,,,,,,,,
24,NF6-LOW,NF,6-LOW,LARGE,3.3, 10.51 , 8.55 , 8.94 , 8.53 , 17.93 , 10.49 , 7.26 , 11.36 , 8.16 , 12.51 , 9.07 , 8.74 , 9.83 , 12.04 , 12.11 ,,,,,,,,,,,,
25,NF6-LOW,NF,6-LOW,SMALL,0.4, 6.37 , 5.47 , 7.14 , 6.04 , 4.54 , 4.20 , 5.13 , 5.44 , 4.85 , 4.49 , 4.19 , 4.64 , 6.88 , 6.03 , 5.68 ,,,,,,,,,,,,
26,NF6-LOW,NF,6-LOW,SMALL,0.4, 5.96 , 5.06 , 5.86 , 7.13 , 6.57 , 5.90 , 5.34 , 4.87 , 6.24 , 4.90 , 6.24 , 5.11 , 5.36 , 4.70 , 5.73 , 5.40 , 6.35 ,,,,,,,,,,
27,NF6-LOW,NF,6-LOW,SMALL,0.4, 6.21 , 5.40 , 5.38 , 5.23 , 4.92 , 5.43 , 5.54 , 5.40 , 6.63 , 6.34 , 5.83 , 5.57 , 4.27 , 4.30 , 5.48 ,,,,,,,,,,,,
28,NF6-LOW,NF,6-LOW,SMALL,0.6, 6.26 , 6.34 , 6.30 , 6.92 , 6.57 , 6.86 , 5.70 , 5.57 , 5.74 , 6.33 , 6.06 , 7.04 , 5.73 , 5.98 , 6.45 ,,,,,,,,,,,,
29,NF6-LOW,NF,6-LOW,SMALL,0.5, 6.58 , 6.11 , 5.95 , 5.38 , 7.12 , 5.30 , 6.71 , 5.60 , 5.20 , 6.57 , 4.91 , 4.74 , 5.93 , 5.23 , 5.33 ,,,,,,,,,,,,
30,NF6-LOW,NF,6-LOW,SMALL,0.7,7.03, 5.26 , 6.02 , 6.14 , 6.30 , 6.97 , 5.78 , 6.55 , 5.21 , 6.39 , 6.67 , 6.72 , 5.82 , 5.62 , 6.89 ,,,,,,,,,,,,
31,NF6-LOW,NF,6-LOW,LARGE,3.7, 14.26 , 13.18 , 15.07 , 12.68 , 9.50 , 9.08 , 10.80 , 7.35 , 11.54 , 10.20 , 8.65 , 11.27 , 16.06 , 14.96 , 10.79 ,,,,,,,,,,,,
32,NF6-LOW,NF,6-LOW,LARGE,2.7, 8.58 , 9.54 , 14.00 , 9.37 , 7.49 , 8.50 , 10.10 , 7.49 , 16.69 , 7.27 , 12.70 , 7.54 , 9.68 , 15.98 , 10.28 ,,,,,,,,,,,,
33,NF6-LOW,NF,6-LOW,LARGE,3, 10.14 , 9.77 , 11.32 , 10.69 , 8.99 , 18.62 , 7.39 , 13.92 , 11.53 , 11.27 , 9.90 , 7.96 , 9.07 , 8.81 , 9.80 ,,,,,,,,,,,,
34,NF6-LOW,NF,6-LOW,LARGE,3.9, 7.84 , 7.44 , 18.14 , 15.06 , 11.99 , 11.62 , 16.66 , 9.16 , 10.85 , 14.88 , 13.85 , 8.41 , 14.12 , 11.54 , 9.54 ,,,,,,,,,,,,
35,NF6-LOW,NF,6-LOW,LARGE,5.2, 16.03 , 15.30 , 10.61 , 10.04 , 8.83 , 8.36 , 12.48 , 16.64 , 18.41 , 16.47 , 13.00 , 12.74 , 15.71 , 10.84 , 9.72 ,,,,,,,,,,,,
36,NF6-LOW,NF,6-LOW,LARGE,2.4, 10.90 , 14.33 , 14.77 , 9.85 , 10.26 , 11.93 , 7.24 , 7.66 , 10.21 , 8.30 , 7.70 , 9.17 , 11.11 , 12.08 , 11.45 ,,,,,,,,,,,,
37,NF6-AMB ,NF,6-AMB,SMALL,1, 7.82 , 8.49 , 8.31 , 6.60 , 8.21 , 7.89 , 5.83 , 7.63 , 8.58 , 7.03 , 8.61 , 6.20 , 6.08 , 5.10 , 7.53 ,,,,,,,,,,,,
38,NF6-AMB ,NF,6-AMB,SMALL,0.8, 8.48 , 7.12 , 7.51 , 6.83 , 5.62 , 4.21 , 6.70 , 5.79 , 6.95 , 5.87 , 6.37 , 7.72 , 6.24 , 8.59 , 8.11 ,,,,,,,,,,,,
39,NF6-AMB ,NF,6-AMB,SMALL,0.7, 7.12 , 7.87 , 6.16 , 4.21 , 7.71 , 7.02 , 5.90 , 6.82 , 8.22 , 7.43 , 7.40 , 7.17 , 6.20 , 5.36 , 7.92 ,,,,,,,,,,,,
40,NF6-AMB ,NF,6-AMB,SMALL,0.7, 7.58 , 7.41 , 7.61 , 6.32 , 7.48 , 7.13 , 7.91 , 5.73 , 6.53 , 6.61 , 5.48 , 6.72 , 7.19 , 8.47 , 7.88 ,,,,,,,,,,,,
41,NF6-AMB ,NF,6-AMB,SMALL,0.7, 5.42 , 6.69 , 8.36 , 4.86 , 8.29 , 8.26 , 8.20 , 6.48 , 7.36 , 7.09 , 8.38 , 5.93 , 8.14 , 5.50 , 6.56 ,,,,,,,,,,,,
42,NF6-AMB ,NF,6-AMB,SMALL,0.7, 6.06 , 7.27 , 7.38 , 7.19 , 6.25 , 6.90 , 6.35 , 6.48 , 7.36 , 7.09 , 8.38 , 5.93 , 8.14 , 5.50 , 6.56 ,,,,,,,,,,,,
43,NF6-AMB ,NF,6-AMB,LARGE,3.3, 9.10 , 9.83 , 12.30 , 17.12 , 11.67 , 10.89 , 10.43 , 12.07 , 8.84 , 10.28 , 10.53 , 15.01 , 12.31 , 11.81 , 10.58 ,,,,,,,,,,,,
44,NF6-AMB ,NF,6-AMB,LARGE,2.2, 9.06 , 11.20 , 10.51 , 9.98 , 12.37 , 10.54 , 9.65 , 10.00 , 8.82 , 10.90 , 10.73 , 9.00 , 9.08 , 13.04 , 12.46 ,,,,,,,,,,,,
45,NF6-AMB ,NF,6-AMB,LARGE,3, 12.12 , 12.15 , 11.72 , 10.11 , 9.67 , 9.65 , 13.68 , 14.93 , 13.68 , 11.00 , 15.59 , 10.61 , 11.14 , 9.26 , 13.19 ,,,,,,,,,,,,
46,NF6-AMB ,NF,6-AMB,LARGE,2.6, 8.77 , 13.71 , 9.54 , 9.82 , 14.50 , 13.37 , 9.80 , 9.82 , 10.35 , 10.91 , 9.65 , 11.65 , 8.96 , 10.80 , 10.90 ,,,,,,,,,,,,
47,NF6-AMB ,NF,6-AMB,LARGE,2.6, 13.87 , 9.35 , 11.42 , 12.85 , 10.42 , 12.95 , 13.85 , 9.04 , 10.34 , 12.94 , 9.00 , 9.15 , 10.84 , 12.86 , 12.11 ,,,,,,,,,,,,
48,NF6-AMB ,NF,6-AMB,LARGE,2.8, 14.51 , 8.83 , 8.70 , 9.39 , 9.98 , 9.71 , 10.18 , 16.05 , 17.20 , 10.31 , 9.95 , 9.57 , 8.93 , 11.96 , 9.60 ,,,,,,,,,,,,
AVERAGE,HL6-AMB,HL,6-AMB,AVERAGE,NA, 10.69 , 9.33 , 7.94 , 7.04 , 7.35 , 5.52 , 9.77 , 7.49 , 5.69 , 8.52 , 4.02 , 7.50 , 5.90 , 5.82 , 8.18 , 6.16 , 4.61 , 4.07 , 7.73 , 9.50 , 6.54 , 7.89 , 4.00 , 4.30 , 7.69 , 6.93 ,
49,HL6-AMB,HL,6-AMB,SMALL,0.4,6.37,6.59,3.9,4.74,3.56,5.58,6.69,5.7,6.52,5.41,6.6,6.16,4.96,6.84,4.61,,,,,,,,,,,,
50,HL6-AMB,HL,6-AMB,SMALL,0.4, 4.95 , 6.93 , 5.58 , 6.63 , 5.59 , 4.09 , 5.30 , 4.88 , 5.53 , 4.72 , 5.10 , 6.03 , 6.56 , 5.02 , 6.77 ,,,,,,,,,,,,
51,HL6-AMB,HL,6-AMB,SMALL,0.4, 6.22 , 5.22 , 6.30 , 6.61 , 6.13 , 6.90 , 4.63 , 6.21 , 6.72 , 6.80 , 5.56 , 6.92 , 6.55 , 6.00 , 4.26 ,,,,,,,,,,,,
52,HL6-AMB,HL,6-AMB,SMALL,0.3, 5.91 , 6.05 , 4.37 , 4.68 , 6.90 , 6.88 , 5.45 , 4.58 , 5.02 , 4.75 , 6.04 , 5.09 , 4.89 , 4.65 , 6.59 ,,,,,,,,,,,,
53,HL6-AMB,HL,6-AMB,SMALL,0.4, 6.54 , 4.46 , 6.76 , 6.36 , 3.82 , 5.81 , 6.85 , 6.67 , 5.31 , 3.86 , 5.55 , 5.90 , 5.45 , 5.74 , 4.80 ,,,,,,,,,,,,
54,HL6-AMB,HL,6-AMB,SMALL,0.4, 5.55 , 6.46 , 4.15 , 4.59 , 6.66 , 3.76 , 4.56 , 5.23 , 5.82 , 5.81 , 5.45 , 6.32 , 6.34 , 4.66 , 6.87 ,,,,,,,,,,,,
55,HL6-AMB,HL,6-AMB,SMALL,0.4, 5.49 , 5.86 , 5.13 , 5.87 , 4.61 , 6.59 , 6.63 , 3.85 , 6.31 , 6.55 , 5.11 , 6.69 , 5.24 , 6.88 , 5.26 ,,,,,,,,,,,,
56,HL6-AMB,HL,6-AMB,SMALL,0.3, 5.02 , 6.33 , 5.26 , 5.86 , 6.90 , 6.51 , 5.34 , 5.18 , 5.37 , 5.12 , 5.98 , 4.37 , 4.57 , 4.84 , 6.05 ,,,,,,,,,,,,
57,HL6-AMB,HL,6-AMB,SMALL,0.4, 6.46 , 4.58 , 5.06 , 6.26 , 6.93 , 5.49 , 6.51 , 5.94 , 6.80 , 5.50 , 5.69 , 5.30 , 5.31 , 6.86 , 6.48 ,,,,,,,,,,,,
58,HL6-AMB,HL,6-AMB,SMALL,0.4, 5.16 , 4.97 , 6.82 , 4.30 , 4.70 , 5.34 , 5.85 , 6.56 , 6.67 , 6.83 , 5.47 , 6.53 , 6.63 , 5.03 , 5.48 ,,,,,,,,,,,,
59,HL6-AMB,HL,6-AMB,SMALL,0.4, 5.89 , 4.66 , 6.31 , 5.49 , 6.54 , 5.30 , 6.01 , 5.93 , 5.96 , 4.63 , 4.31 , 5.38 , 6.79 , 5.76 , 6.26 ,,,,,,,,,,,,
60,HL6-AMB,HL,6-AMB,SMALL,0.3, 5.10 , 5.20 , 5.83 , 4.72 , 5.22 , 4.32 , 5.87 , 6.53 , 4.50 , 6.15 , 5.98 , 4.91 , 5.20 , 6.24 , 6.51 ,,,,,,,,,,,,
61,HL6-AMB,HL,6-AMB,LARGE,1,10.72,7.05,9.66,7.48,7.99,7.79,8.02,9.75,7.67,7.23,6.99,10.66,8.08,8.39,8.45,,,,,,,,,,,,
62,HL6-AMB,HL,6-AMB,LARGE,1.1,8.3,8.98,8,9.25,8.55,7.77,8.15,8.44,8.05,7.45,7.61,7.28,8.78,9.83,8.77,,,,,,,,,,,,
63,HL6-AMB,HL,6-AMB,LARGE,1,10.2,7.85,7.17,9.86,7.79,13.6,9.74,8.1,6.97,7.67,7.54,7.65,7.59,7.06,8.78,,,,,,,,,,,,
64,HL6-AMB,HL,6-AMB,LARGE,1,9.95,8.06,9.59,9.31,7.5,7.62,8.34,7.67,7.07,7.88,7.26,7.98,10.66,7.21,7.84,,,,,,,,,,,,
65,HL6-AMB,HL,6-AMB,LARGE,1.1,8.73,8.77,7.71,7.24,7.61,9.77,7.53,8.42,8.85,7,8.15,9.4,9.67,8.25,10.43,,,,,,,,,,,,
66,HL6-AMB,HL,6-AMB,LARGE,1,8.21,8.62,9.44,8.31,7.62,7.25,9.65,?,9.25,7.49,8.21,8.2,7.33,11.4,7.02,7.24,,,,,,,,,,,
67,HL6-AMB,HL,6-AMB,LARGE,1.2,9.01,8.06,7.28,7.25,13.05,7.3,7.06,10.14,9.22,10.68,9.54,7.47,7.23,6.99,7.07,,,,,,,,,,,,
68,HL6-AMB,HL,6-AMB,LARGE,1,7.41,7.5,7.33,6.98,7.26,7.28,8.21,9.9,9.61,8,7.13,8.01,8.13,7.15,9.62,,,,,,,,,,,,
69,HL6-AMB,HL,6-AMB,LARGE,1.3,10.03,10.11,10.65,8.1,8.43,7.13,10.28,7.02,6.99,7.44,8.43,7.51,7.94,10.2,7.82,,,,,,,,,,,,
70,HL6-AMB,HL,6-AMB,LARGE,1.3,7.36,8.49,10.98,8.33,11.94,10.97,7.37,7.75,7.98,8.2,7.54,8.3,8.92,8.45,7.97,,,,,,,,,,,,
71,HL6-AMB,HL,6-AMB,LARGE,1.1,9.29,9.13,8.55,8.17,9.58,7.97,9.13,7.67,7.94,7.27,9.03,7.4,7.44,7.65,9.62,,,,,,,,,,,,
72,HL6-AMB,HL,6-AMB,LARGE,0.9,7.83,8.07,7.91,7,7.83,7.93,7.35,7.62,8.07,7.69,10.61,7.63,8.53,7.79,8.22,,,,,,,,,,,,
AVERAGE,HL6-LOW,HL,6-LOW,AVERAGE,NA,10.06,4.06,4.81,6.37,6.39,5.86,4.76,9.45,5.41,5.7,4.09,5.47,8.16,9.46,8.09,4.28,4.47,4.87,5.23,7.29,9.86,4.69,4.34,4.52,6.79, 6.18 ,
73,HL6-LOW,HL,6-LOW,SMALL,0.1,5.04,5.67,4.59,4.74,5.04,3.18,5.02,5.76,5.34,4.4,4.45,4.33,4.69,4.16, 4.56 ,,,,,,,,,,,,
74,HL6-LOW,HL,6-LOW,SMALL,0.2,4.8,3.8,5.48,4.26,4.69,4.35,4.98,5.94,5.32,3.7,3.85,5.36,5.17,4.36,5.44,,,,,,,,,,,,
75,HL6-LOW,HL,6-LOW,SMALL,0.2,4.5,4.96,4.95,5.66,4.08,5.37,5.9,4.99,4.77,5.4,5.62,6.1,6.13,5.07,4.87,,,,,,,,,,,,
76,HL6-LOW,HL,6-LOW,SMALL,0.2,5.26,4.84,4.29,3.92,4.36,5.09,5.72,5.92,4.46,5.36,4.9,5.33,5.22,4.61,5.22,,,,,,,,,,,,
77,HL6-LOW,HL,6-LOW,SMALL,0.2,4.83,5.56,4.7,5.05,5.28,5.33,4.73,4.22,4.27,5.96,5.35,4.78,4.86,5.39,5.63,,,,,,,,,,,,
78,HL6-LOW,HL,6-LOW,SMALL,0.2,5.85,5.35,4.11,4.45,5.76,5.59,4.43,5.37,5.52,5.7,5.21,5.06,4.74,5.88,4.41,,,,,,,,,,,,
79,HL6-LOW,HL,6-LOW,SMALL,0.2,4.42,4.39,5.15,5.56,5.39,5.89,5.68,6.05,4.48,5.3,4.76,4.68,4.25,5.34,5.23,,,,,,,,,,,,
80,HL6-LOW,HL,6-LOW,SMALL,0.2,6.13,5.82,5.95,5.95,5.22,5.54,3.88,5.51,3.44,3.99,5.3,5.65,4.8,5.64,5.01,,,,,,,,,,,,
81,HL6-LOW,HL,6-LOW,SMALL,0.2,5.06,5.83,4.85,5.71,4.94,5.11,4.42,4.26,5.93,5.99,4.74,5.88,4.66,5.23,4.5,,,,,,,,,,,,
82,HL6-LOW,HL,6-LOW,SMALL,0.2,4.78,3.89,4.93,4.77,4.26,5.52,5.29,s,4.21,4.57,5.77,5.2,4.47,5.96,3.79,,,,,,,,,,,,
83,HL6-LOW,HL,6-LOW,SMALL,0.2,4.06,4.86,4.43,4.96,4.62,4.61,4.67,4.16,5.25,5.5,4.47,5.27,5.88,5.95,5.37,,,,,,,,,,,,
84,HL6-LOW,HL,6-LOW,SMALL,0.2,4.52,4.27,4.91,5.09,4.78,5.64,6.02,3.69,5.59,4.74,4.59,5.33,5.24,5.74,6.09,,,,,,,,,,,,
85,HL6-LOW,HL,6-LOW,LARGE,0.6,7.2,6.89,9.35,6.87,9.76,7.43,8.07,6.54,7.93,6.78,9.11,6.85,10.79,7.11,6.64,,,,,,,,,,,,
86,HL6-LOW,HL,6-LOW,LARGE,0.8,6.99,7.3,7.23,9.97,8.45,7.5,8.21,8.67,6.28,6.21,9.75,9.24,7.17,7.26,10.21,,,,,,,,,,,,
87,HL6-LOW,HL,6-LOW,LARGE,0.7,7.14,7.95,7.51,6.22,6.38,6.61,6.26,8.64,9.99,6.36,6.34,7.58,7.56,10.91,8.25,,,,,,,,,,,,
88,HL6-LOW,HL,6-LOW,LARGE,0.9,7.53,7.68,9.81,6.6,7.33,6.81,6.23,6.22,7.16,14.36,7.17,8.5,6.65,8.27,6.8,,,,,,,,,,,,
89,HL6-LOW,HL,6-LOW,LARGE,0.7,6.71,7.71,7.74,7.28,7.26,7.33,9.3,9.32,7.29,10.01,9.18,8.35,8.02,7.16,7.61,,,,,,,,,,,,
90,HL6-LOW,HL,6-LOW,LARGE,0.7,6.32,6.87,6.29,7,6.58,8.16,6.61,7.88,9.8,6.81,9.69,8.75,7.01,7.45,7.07,,,,,,,,,,,,
91,HL6-LOW,HL,6-LOW,LARGE,0.6,7.02,12.01,7.04,7.76,7.71,8.81,6.88,6.69,6.21,6.47,6.98,7.4,6.44,6.66,6.19,,,,,,,,,,,,
92,HL6-LOW,HL,6-LOW,LARGE,0.6,6.96,7.18,7.08,7.44,8.55,6.72,6.21,7.75,9.43,8.27,8.18,8.22,6.21,6.37,7.35,,,,,,,,,,,,
93,HL6-LOW,HL,6-LOW,LARGE,0.9,6.27,10.09,7.55,8.57,6.24,8.09,9.31,8.98,6.83,6.79,7.95,7.25,9.69,7.59,9.3,,,,,,,,,,,,
94,HL6-LOW,HL,6-LOW,LARGE,0.9,8.87,10.97,8.02,6.86,7.64,7.54,8.94,8.86,7.57,6.98,7.65,7.04,7.3,9,8.32,,,,,,,,,,,,
95,HL6-LOW,HL,6-LOW,LARGE,0.6,8.72,7.97,6.43,7.73,6.44,6.66,6.95,6.84,8.49,6.73,6.66,7,7.32,6.7,6.08,,,,,,,,,,,,
96,HL6-LOW,HL,6-LOW,LARGE,0.5,6.17,6.62,7.01,6.29,6.84,6.18,7.01,6.16,7.17,6.74,6.88,8.71,7.4,6.24,6.29,,,,,,,,,,,,
,SN6-AMB,SN,6-AMB,AVERAGE,NA,11.96,14.43,15.52,9.19,7.97,12.62,7.1,20.13,12.27,14.58,11.84,9.14,15.22,5.4,11.14,7.35,15.85,11.62,9.11,11.17,11.12,11,11.97,6.36,10.44,,
97,SN6-AMB,SN,6-AMB,SMALL,0.6,10.21,10.18,9.05,10.86,6.44,,,,,,,,,,,,,,,,,,,,,,
98,SN6-AMB,SN,6-AMB,SMALL,0.5,8.37,7.51,10.02,5.43,11.18,,,,,,,,,,,,,,,,,,,,,,
99,SN6-AMB,SN,6-AMB,SMALL,0.7,7.76,11.61,9.96,10.16,6.01,,,,,,,,,,,,,,,,,,,,,,
100,SN6-AMB,SN,6-AMB,SMALL,0.6,7.49,7.27,10.97,9.63,10.3,,,,,,,,,,,,,,,,,,,,,,
101,SN6-AMB,SN,6-AMB,SMALL,0.5,8.71,9.08,8.78,10.97,9.57,,,,,,,,,,,,,,,,,,,,,,
102,SN6-AMB,SN,6-AMB,SMALL,0.4,7.56,7.52,10.09,5.93,8.7,,,,,,,,,,,,,,,,,,,,,,
103,SN6-AMB,SN,6-AMB,SMALL,0.4,8.88,9.05,10.56,7.12,6.28,,,,,,,,,,,,,,,,,,,,,,
104,SN6-AMB,SN,6-AMB,SMALL,0.7,11.27,11.24,7.94,9.29,9.14,,,,,,,,,,,,,,,,,,,,,,
105,SN6-AMB,SN,6-AMB,SMALL,0.5,11.21,10.14,4.05,10.26,7.99,,,,,,,,,,,,,,,,,,,,,,
106,SN6-AMB,SN,6-AMB,SMALL,0.7,8.58,8.06,8.48,9.66,10.46,,,,,,,,,,,,,,,,,,,,,,
107,SN6-AMB,SN,6-AMB,SMALL,0.3,5.72,6.83,8.64,10.29,4.72,,,,,,,,,,,,,,,,,,,,,,
108,SN6-AMB,SN,6-AMB,SMALL,0.4,7.29,5.26,7.03,11.17,9.43,,,,,,,,,,,,,,,,,,,,,,
109,SN6-AMB,SN,6-AMB,LARGE,1.4,15.63,11.81,14.34,11.5,11.93,,,,,,,,,,,,,,,,,,,,,,
110,SN6-AMB,SN,6-AMB,LARGE,1.9,12.21,12.4,20.19,12.26,18.89,,,,,,,,,,,,,,,,,,,,,,
111,SN6-AMB,SN,6-AMB,LARGE,2.1,12.26,15.12,11.74,16.74,17.45,,,,,,,,,,,,,,,,,,,,,,
112,SN6-AMB,SN,6-AMB,LARGE,2.3,18.43,17.23,11.49,16.66,13.71,,,,,,,,,,,,,,,,,,,,,,
113,SN6-AMB,SN,6-AMB,LARGE,2.2,13.51,14.05,13.18,15.83,16.96,,,,,,,,,,,,,,,,,,,,,,
114,SN6-AMB,SN,6-AMB,LARGE,2.3,15.54,14.77,13.76,19.13,15.45,,,,,,,,,,,,,,,,,,,,,,
115,SN6-AMB,SN,6-AMB,LARGE,1.5,14.45,12.15,14.47,12.35,12.31,,,,,,,,,,,,,,,,,,,,,,
116,SN6-AMB,SN,6-AMB,LARGE,2.1,11.53,17.78,13.91,14.1,16.1,,,,,,,,,,,,,,,,,,,,,,
117,SN6-AMB,SN,6-AMB,LARGE,1.5,11.51,11.76,12.09,13.06,14.35,,,,,,,,,,,,,,,,,,,,,,
118,SN6-AMB,SN,6-AMB,LARGE,1.9,12.87,13.96,15.69,12.77,14.93,,,,,,,,,,,,,,,,,,,,,,
